( 0 , 'there are such a large amount of')
( 3275 , 'would routinely')
( 3275 , 'would normally')
( 3275 , 'would typically')
( 3276 , 'would reduce')
( 3276 , 'would scale back')
( 3276 , 'would cut back')
( 3277 , 'would provide')
( 3277 , 'would offer')
( 3277 , 'would supply')
( 3278 , 'would prefer')
( 3278 , 'would like')
( 3278 , 'would favor')
( 3279 , 'would possibly')
( 3279 , 'might')
( 3279 , 'may')
( 3280 , 'would need')
( 3280 , 'would wish')
( 3280 , 'would want')
( 3281 , 'would narrow')
( 3281 , 'would chop')
( 3281 , 'would cut')
( 3282 , 'would like')
( 3282 , 'would really like')
( 3282 , 'would love')
( 3283 , 'would leave')
( 3283 , 'would go away')
( 3283 , 'would depart')
( 3284 , 'would it')
( 3284 , 'wouldn''t it')
( 3284 , 'would it not')
( 3285 , 'would include')
( 3285 , 'would come with')
( 3286 , 'would fast')
( 3286 , 'would quick')
( 3287 , 'would continually')
( 3287 , 'would constantly')
( 3287 , 'would regularly')
( 3288 , 'would certainly')
( 3288 , 'would definitely')
( 3288 , 'will surely')
( 3289 , 'would appear')
( 3289 , 'would seem')
( 3290 , 'worth the')
( 3290 , 'well worth the')
( 3290 , 'definitely worth the')
( 3291 , 'working out')
( 3291 , 'understanding')
( 3291 , 'figuring out')
( 3292 , 'work journeys')
( 3292 , 'business trips')
( 3292 , 'work trips')
( 3293 , 'word list')
( 3293 , 'glossary')
( 3293 , 'thesaurus')
( 3294 , 'wooden flooring')
( 3294 , 'wooden floors')
( 3294 , 'wood floors')
( 3295 , 'wooden fixtures')
( 3295 , 'wood fittings')
( 3295 , 'wood furniture')
( 3296 , 'wood worker')
( 3296 , 'carpenter')
( 3296 , 'chippie')
( 3297 , 'wood floors')
( 3297 , 'wood flooring')
( 3297 , 'wooden floors')
( 3297 , 'wooden flooring')
( 3298 , 'wood fixtures')
( 3298 , 'wood furniture')
( 3298 , 'wooden furniture')
( 3299 , 'wonder whether')
( 3299 , 'ponder whether')
( 3299 , 'wonder if')
( 3300 , 'without needing')
( 3300 , 'without having')
( 3300 , 'while not having')
( 3300 , 'with no need')
( 3301 , 'without equal')
( 3301 , 'the ultimate')
( 3302 , 'without doubt')
( 3302 , 'doubtless')
( 3302 , 'no doubt')
( 3303 , 'without delay')
( 3303 , 'at once')
( 3303 , 'directly')
( 3303 , 'immediately')
( 3304 , 'without any')
( 3304 , 'with none ')
( 3305 , 'with your')
( 3305 , 'together with your')
( 3305 , 'along with your')
( 3306 , 'with his')
( 3306 , 'together with his')
( 3306 , 'along with his')
( 3307 , 'with her')
( 3307 , 'together with her')
( 3307 , 'along with her')
( 3308 , 'wiped clean')
( 3308 , 'cleaned')
( 3309 , 'will require')
( 3309 , 'would require')
( 3310 , 'will pay')
( 3310 , 'can pay')
( 3310 , 'pays')
( 3311 , 'will definitely')
( 3311 , 'will certainly')
( 3312 , 'will certainly')
( 3312 , 'will definitely')
( 3313 , 'will also')
( 3313 , 'also will')
( 3314 , 'widely recognized')
( 3314 , 'widely known')
( 3314 , 'well known')
( 3315 , 'wide variety')
( 3315 , 'wide range')
( 3315 , 'wide selection')
( 3316 , 'wide selection')
( 3316 , 'big choice')
( 3316 , 'large choice')
( 3316 , 'big range')
( 3316 , 'wide array')
( 3316 , 'big variety')
( 3316 , 'good selection')
( 3316 , 'wide variety')
( 3317 , 'wide range')
( 3317 , 'wide selection')
( 3317 , 'big selection ')
( 3318 , 'wide array')
( 3318 , 'big selection')
( 3318 , 'big range')
( 3319 , 'who suffer')
( 3319 , 'that suffer')
( 3319 , 'who are suffering')
( 3320 , 'who prefer')
( 3320 , 'preferring')
( 3321 , 'which would')
( 3321 , 'which might')
( 3322 , 'which will')
( 3322 , 'which can')
( 3322 , 'which is able to')
( 3323 , 'which typically')
( 3323 , 'which usually')
( 3323 , 'which generally')
( 3324 , 'which type')
( 3324 , 'which sort')
( 3324 , 'which kind')
( 3325 , 'which time')
( 3325 , 'which era')
( 3325 , 'which period')
( 3326 , 'which sort')
( 3326 , 'which type')
( 3326 , 'which kind')
( 3327 , 'which sites')
( 3327 , 'which websites')
( 3327 , 'which internet sites')
( 3328 , 'which results')
( 3328 , 'which ends up')
( 3328 , 'which ends')
( 3329 , 'which provide')
( 3329 , 'which give')
( 3329 , 'which offer')
( 3330 , 'which perturbs')
( 3330 , 'which agitates')
( 3331 , 'which permits')
( 3331 , 'which allows')
( 3332 , 'which permit')
( 3332 , 'which enable')
( 3332 , 'which allow')
( 3333 , 'which people')
( 3333 , 'which individuals')
( 3334 , 'which parents')
( 3334 , 'which folks')
( 3334 , 'which oldsters')
( 3335 , 'which ones')
( 3335 , 'which of them')
( 3336 , 'which often')
( 3336 , 'which frequently')
( 3336 , 'which regularly')
( 3337 , 'which offer')
( 3337 , 'which supply')
( 3337 , 'which provide')
( 3338 , 'which might')
( 3338 , 'which could')
( 3339 , 'which means')
( 3339 , 'which suggests')
( 3339 , 'which implies')
( 3340 , 'which may')
( 3340 , 'which can')
( 3341 , 'which literally')
( 3341 , 'which accurately')
( 3342 , 'which kind')
( 3342 , 'which type')
( 3342 , 'which sort')
( 3343 , 'which incorporates')
( 3343 , 'which includes')
( 3343 , 'which contains')
( 3344 , 'which includes')
( 3344 , 'which incorporates')
( 3345 , 'which impressed')
( 3345 , 'which inspired')
( 3345 , 'which galvanized')
( 3346 , 'which implies')
( 3346 , 'which means')
( 3346 , 'which suggests')
( 3347 , 'which goes')
( 3347 , 'which matches')
( 3347 , 'which fits')
( 3347 , 'which works')
( 3348 , 'which gives')
( 3348 , 'which provides')
( 3348 , 'which supplies')
( 3349 , 'which frequently')
( 3349 , 'which regularly')
( 3349 , 'which often')
( 3350 , 'which forestall')
( 3350 , 'which stop')
( 3350 , 'which prevent')
( 3351 , 'which fits')
( 3351 , 'which inserts')
( 3352 , 'which every')
( 3352 , 'which each')
( 3352 , 'which each and every')
( 3353 , 'which enhances')
( 3353 , 'which reinforces')
( 3353 , 'which boosts')
( 3354 , 'which encourages')
( 3354 , 'which inspires')
( 3355 , 'which draws')
( 3355 , 'which pulls')
( 3355 , 'which attracts')
( 3356 , 'which doesn''t')
( 3356 , 'which does not')
( 3357 , 'which discuss')
( 3357 , 'which debate')
( 3358 , 'which computer')
( 3358 , 'which pc')
( 3359 , 'which complement')
( 3359 , 'which enhance')
( 3359 , 'which counterpoint')
( 3360 , 'which combines')
( 3360 , 'which mixes')
( 3361 , 'which colours')
( 3361 , 'which colors')
( 3362 , 'which can')
( 3362 , 'which may')
( 3362 , 'which might')
( 3363 , 'which attract')
( 3363 , 'which magnetize')
( 3363 , 'which are a magnet for')
( 3364 , 'which aren''t')
( 3364 , 'which are not')
( 3365 , 'which almost')
( 3365 , 'which just about')
( 3365 , 'which nearly')
( 3366 , 'which allow')
( 3366 , 'which permit')
( 3367 , 'whether they')
( 3367 , 'whether or not they ')
( 3368 , 'when you')
( 3368 , 'once you')
( 3368 , 'after you')
( 3369 , 'when we')
( 3369 , 'once we')
( 3369 , 'after we')
( 3370 , 'when they')
( 3370 , 'once they')
( 3370 , 'after they')
( 3371 , 'when I')
( 3371 , 'once I')
( 3371 , 'after I')
( 3372 , 'when compared')
( 3372 , 'in comparison')
( 3372 , 'compared')
( 3372 , 'when put next')
( 3373 , 'what''s wrong')
( 3373 , 'what is wrong')
( 3374 , 'what''s the')
( 3374 , 'what is the')
( 3375 , 'what''s going')
( 3375 , 'what is going on')
( 3376 , 'whatever the')
( 3376 , 'regardless of the')
( 3377 , 'what will')
( 3377 , 'what is going to')
( 3377 , 'what''s going to')
( 3378 , 'we''ve seen')
( 3378 , 'we have seen')
( 3379 , 'we''ve got')
( 3379 , 'we have got')
( 3379 , 'we have')
( 3380 , 'we''re the')
( 3380 , 'we are the')
( 3381 , 'were not')
( 3381 , 'weren''t')
( 3382 , 'were given')
( 3382 , 'got')
( 3383 , 'well-liked by')
( 3383 , 'popular with')
( 3383 , 'well liked by')
( 3384 , 'well known')
( 3384 , 'well-known')
( 3385 , 'welcome boost')
( 3385 , 'great addition')
( 3385 , 'fine addition')
( 3386 , 'weeding out')
( 3386 , 'removing')
( 3386 , 'hunting down')
( 3387 , 'we''d')
( 3387 , 'we might')
( 3387 , 'we would')
( 3388 , 'web sites')
( 3388 , 'internet sites')
( 3388 , 'websites')
( 3389 , 'we would')
( 3389 , 'we might')
( 3389 , 'we''d ')
( 3390 , 'we won''t')
( 3390 , 'we cannot')
( 3390 , 'we can''t')
( 3391 , 'we women')
( 3391 , 'we girls')
( 3391 , 'we ladies')
( 3392 , 'we will')
( 3392 , 'we''ll')
( 3392 , 'we are going to')
( 3393 , 'we want')
( 3393 , 'we would like')
( 3393 , 'we wish')
( 3394 , 'we think')
( 3394 , 'we expect')
( 3394 , 'we predict')
( 3395 , 'we suggest')
( 3395 , 'we propose')
( 3395 , 'we advise')
( 3395 , 'we recommend')
( 3396 , 'we strive')
( 3396 , 'we attempt')
( 3396 , 'we try')
( 3397 , 'we should')
( 3397 , 'we should always')
( 3397 , 'we must always')
( 3398 , 'we say')
( 3398 , 'we are saying')
( 3399 , 'we really')
( 3399 , 'we actually')
( 3400 , 'we provide')
( 3400 , 'we offer')
( 3401 , 'we often')
( 3401 , 'we frequently')
( 3401 , 'we regularly')
( 3402 , 'we offer')
( 3402 , 'we provide')
( 3403 , 'we needed')
( 3403 , 'we would have liked')
( 3403 , 'we wanted')
( 3404 , 'we need')
( 3404 , 'we''d like')
( 3404 , 'we want')
( 3405 , 'we might')
( 3405 , 'we''d')
( 3405 , 'we would')
( 3406 , 'we look')
( 3406 , 'we glance')
( 3407 , 'we know')
( 3407 , 'we all know')
( 3408 , 'we haven''t')
( 3408 , 'we''ve not')
( 3408 , 'we have not')
( 3409 , 'we have')
( 3409 , 'we''ve')
( 3409 , 'we''ve got')
( 3410 , 'we frequently')
( 3410 , 'we often')
( 3410 , 'we regularly')
( 3411 , 'we find')
( 3411 , 'we discover')
( 3412 , 'we endorse')
( 3412 , 'we promote')
( 3412 , 'we recommend')
( 3413 , 'we don''t')
( 3413 , 'we do not')
( 3414 , 'we depend')
( 3414 , 'we rely')
( 3415 , 'we commence')
( 3415 , 'we begin')
( 3415 , 'we start')
( 3416 , 'we choose')
( 3416 , 'we elect')
( 3416 , 'we decide')
( 3417 , 'we change')
( 3417 , 'we modify')
( 3417 , 'we alter ')
( 3418 , 'we carry')
( 3418 , 'we feature')
( 3418 , 'we stock')
( 3418 , 'we supply')
( 3419 , 'we can''t')
( 3419 , 'we will not')
( 3419 , 'we won''t')
( 3420 , 'we can')
( 3420 , 'we will')
( 3420 , 'we are able to')
( 3421 , 'we begin')
( 3421 , 'we start')
( 3422 , 'we adore')
( 3422 , 'we love')
( 3422 , 'we like')
( 3423 , 'ways that')
( 3423 , 'ways in which')
( 3424 , 'way to')
( 3424 , 'thanks to')
( 3425 , 'way past')
( 3425 , 'well beyond')
( 3425 , 'well past')
( 3426 , 'way more')
( 3426 , 'far more')
( 3427 , 'water resistant')
( 3427 , 'waterproof')
( 3427 , 'water-proof')
( 3427 , 'water-resistant')
( 3428 , 'watch out')
( 3428 , 'be careful')
( 3429 , 'wasting precious')
( 3429 , 'wasting your')
( 3429 , 'squandering precious')
( 3430 , 'washing machine')
( 3430 , 'washer')
( 3431 , 'was hoping')
( 3431 , 'hoped')
( 3432 , 'want a')
( 3432 , 'need a')
( 3432 , 'desire a')
( 3433 , 'vice president')
( 3433 , 'vice chairman')
( 3433 , 'vp')
( 3434 , 'very unlikely')
( 3434 , 'impossible')
( 3434 , 'most unlikely')
( 3434 , 'not possible')
( 3435 , 'very talked-about')
( 3435 , 'highly regarded')
( 3435 , 'very popular')
( 3436 , 'very same')
( 3436 , 'exact same')
( 3437 , 'very popular')
( 3437 , 'very fashionable')
( 3437 , 'extremely popular')
( 3437 , 'highly regarded')
( 3437 , 'very talked-about')
( 3438 , 'very pleased')
( 3438 , 'very happy')
( 3438 , 'more than happy')
( 3439 , 'very often')
( 3439 , 'fairly often')
( 3440 , 'very little')
( 3440 , 'little or no')
( 3441 , 'very important')
( 3441 , 'vital')
( 3441 , 'important')
( 3442 , 'very hot')
( 3442 , 'extremely popular')
( 3442 , 'very popular')
( 3442 , 'highly regarded')
( 3443 , 'very good')
( 3443 , 'excellent')
( 3443 , 'superb')
( 3444 , 'very few')
( 3444 , 'only a few')
( 3445 , 'very fair')
( 3445 , 'very reasonable')
( 3445 , 'particularly reasonable')
( 3446 , 'very fact')
( 3446 , 'actual fact')
( 3447 , 'very common')
( 3447 , 'quite common')
( 3448 , 'very best')
( 3448 , 'absolute best')
( 3448 , 'best possible')
( 3448 , 'best')
( 3448 , 'highest')
( 3448 , 'easiest')
( 3448 , 'perfect')
( 3449 , 'vast majority')
( 3449 , 'overwhelming majority')
( 3450 , 'vary size-wise')
( 3450 , 'differ size-wise')
( 3450 , 'range in size')
( 3450 , 'differ in size')
( 3451 , 'usually because')
( 3451 , 'actually because')
( 3452 , 'useful tool')
( 3452 , 'useful gizmo')
( 3452 , 'great tool')
( 3453 , 'used in')
( 3453 , 'utilized in ')
( 3454 , 'used by')
( 3454 , 'utilized by')
( 3455 , 'upward push')
( 3455 , 'rise')
( 3455 , 'upward thrust')
( 3456 , 'upside down')
( 3456 , 'the wrong way up')
( 3456 , 'the other way up')
( 3457 , 'united states')
( 3457 , 'u.s.')
( 3458 , 'united kingdom')
( 3458 , 'uk')
( 3459 , 'uninterested in')
( 3459 , 'tired of')
( 3459 , 'bored with ')
( 3460 , 'under consideration')
( 3460 , 'into account')
( 3460 , 'into consideration')
( 3461 , 'undeniable fact')
( 3461 , 'indisputable fact')
( 3462 , 'two hundred')
( 3462 , '2 hundred')
( 3462 , '200')
( 3463 , 'two decades')
( 3463 , '20 years')
( 3463 , 'twenty years')
( 3464 , 'turns out')
( 3464 , 'seems')
( 3465 , 'turns on')
( 3465 , 'activates')
( 3466 , 'turned into')
( 3466 , 'became')
( 3466 , 'was')
( 3466 , 'become')
( 3466 , 'changed into')
( 3467 , 'turn out')
( 3467 , 'end up')
( 3467 , 'prove')
( 3468 , 'turn on')
( 3468 , 'activate')
( 3469 , 'try to')
( 3469 , 'attempt to')
( 3469 , 'try and ')
( 3470 , 'try this')
( 3470 , 'do this')
( 3470 , 'do that')
( 3471 , 'try and')
( 3471 , 'attempt to')
( 3471 , 'try to ')
( 3472 , 'troublesome areas')
( 3472 , 'problem areas')
( 3472 , 'areas of difficulty')
( 3473 , 'triumph over')
( 3473 , 'conquer')
( 3473 , 'overcome')
( 3474 , 'top quality')
( 3474 , 'high quality')
( 3474 , 'top of the range')
( 3474 , 'high-quality')
( 3474 , 'fine quality')
( 3475 , 'too much')
( 3475 , 'an excessive amount of')
( 3476 , 'too can')
( 3476 , 'can also')
( 3477 , 'together with')
( 3477 , 'along with')
( 3478 , 'to write')
( 3478 , 'to write down')
( 3478 , 'to put in writing')
( 3478 , 'to jot down')
( 3479 , 'to worth')
( 3479 , 'to price')
( 3479 , 'to value')
( 3480 , 'to worry')
( 3480 , 'to fret')
( 3481 , 'to withstand')
( 3481 , 'to face up to')
( 3481 , 'to resist')
( 3482 , 'to whether')
( 3482 , 'as to if')
( 3482 , 'as to whether ')
( 3483 , 'to watch')
( 3483 , 'to observe')
( 3483 , 'to look at')
( 3484 , 'to wash')
( 3484 , 'to scrub')
( 3484 , 'to clean')
( 3485 , 'to wait')
( 3485 , 'to attend')
( 3486 , 'to visualize')
( 3486 , 'to visualise')
( 3487 , 'to visit')
( 3487 , 'to go to')
( 3488 , 'to various')
( 3488 , 'to varied')
( 3488 , 'to numerous')
( 3489 , 'to vanish')
( 3489 , 'to fade')
( 3490 , 'to upcoming')
( 3490 , 'to approaching')
( 3490 , 'to imminent')
( 3491 , 'to university')
( 3491 , 'to college')
( 3491 , 'to school')
( 3492 , 'to understand')
( 3492 , 'to know')
( 3492 , 'to grasp')
( 3493 , 'to two')
( 3493 , 'to 2')
( 3494 , 'to twenty-five')
( 3494 , 'to 25')
( 3495 , 'to twelve')
( 3495 , 'to 12')
( 3496 , 'to turn')
( 3496 , 'to show')
( 3497 , 'to truly')
( 3497 , 'to really')
( 3497 , 'to actually')
( 3498 , 'to troubled')
( 3498 , 'to distressed')
( 3499 , 'to trouble')
( 3499 , 'to bother')
( 3499 , 'to hassle')
( 3500 , 'to trendy')
( 3500 , 'to modern')
( 3500 , 'to fashionable')
( 3501 , 'to transport')
( 3501 , 'to move')
( 3502 , 'to transforming')
( 3502 , 'to reworking')
( 3502 , 'to remodeling')
( 3503 , 'to transform')
( 3503 , 'to rework')
( 3503 , 'to remodel')
( 3504 , 'to train')
( 3504 , 'to coach')
( 3505 , 'to track')
( 3505 , 'to trace')
( 3506 , 'to touch')
( 3506 , 'to the touch')
( 3507 , 'to toilet')
( 3507 , 'to bathroom')
( 3507 , 'to rest room')
( 3508 , 'to three')
( 3508 , 'to 3')
( 3508 , 'to a few')
( 3509 , 'to thread')
( 3509 , 'to string')
( 3510 , 'to the present')
( 3510 , 'to the current')
( 3511 , 'to third')
( 3511 , 'to 3rd')
( 3512 , 'to these')
( 3512 , 'to those')
( 3513 , 'to that''s')
( 3513 , 'to that is')
( 3514 , 'to test')
( 3514 , 'to check')
( 3515 , 'to ten')
( 3515 , 'to 10')
( 3516 , 'to tell')
( 3516 , 'to inform')
( 3517 , 'to tearing')
( 3517 , 'to ripping')
( 3518 , 'to teams')
( 3518 , 'to groups')
( 3519 , 'to teach')
( 3519 , 'to show')
( 3520 , 'to target')
( 3520 , 'to focus on')
( 3521 , 'to talk')
( 3521 , 'to speak')
( 3522 , 'to switch')
( 3522 , 'to modify')
( 3522 , 'to change')
( 3523 , 'to sweep')
( 3523 , 'to comb')
( 3523 , 'to brush')
( 3524 , 'to supply')
( 3524 , 'to provide')
( 3524 , 'to produce')
( 3525 , 'to suitable')
( 3525 , 'to acceptable')
( 3525 , 'to appropriate')
( 3526 , 'to study')
( 3526 , 'to review')
( 3526 , 'to check')
( 3527 , 'to stroll')
( 3527 , 'to walk')
( 3528 , 'to worry')
( 3528 , 'to fret')
( 3529 , 'to stitching')
( 3529 , 'to sewing')
( 3530 , 'to stick')
( 3530 , 'to stay')
( 3531 , 'to stay')
( 3531 , 'to remain')
( 3532 , 'to stats')
( 3532 , 'to statistical data')
( 3532 , 'to statistics')
( 3533 , 'to start')
( 3533 , 'to start out')
( 3533 , 'to begin')
( 3534 , 'to standard')
( 3534 , 'to plain')
( 3534 , 'to straightforward')
( 3535 , 'to stand')
( 3535 , 'to face')
( 3536 , 'to spot')
( 3536 , 'to identify')
( 3537 , 'to split')
( 3537 , 'to separate')
( 3538 , 'to speed')
( 3538 , 'to hurry')
( 3539 , 'to speculate')
( 3539 , 'to take a position')
( 3539 , 'to invest')
( 3540 , 'to speak')
( 3540 , 'to talk')
( 3541 , 'to sophisticated')
( 3541 , 'to stylish')
( 3541 , 'to classy')
( 3542 , 'to soothe')
( 3542 , 'to appease')
( 3542 , 'to assuage')
( 3543 , 'to solve')
( 3543 , 'to unravel')
( 3543 , 'to resolve')
( 3544 , 'to soften')
( 3544 , 'to melt')
( 3545 , 'to socialise')
( 3545 , 'to socialize')
( 3546 , 'to sniff')
( 3546 , 'to smell')
( 3547 , 'to snatch')
( 3547 , 'to grab')
( 3548 , 'to slot')
( 3548 , 'to fit')
( 3549 , 'to slip')
( 3549 , 'to slide')
( 3550 , 'to slide')
( 3550 , 'to slip')
( 3551 , 'to skimp')
( 3551 , 'to scrimp')
( 3551 , 'to stint')
( 3552 , 'to six')
( 3552 , 'to 6')
( 3553 , 'to sit')
( 3553 , 'to take a seat')
( 3553 , 'to sit down')
( 3554 , 'to simply')
( 3554 , 'to easily')
( 3555 , 'to silly')
( 3555 , 'to crazy')
( 3555 , 'to mad')
( 3556 , 'to signify')
( 3556 , 'to suggest')
( 3556 , 'to indicate')
( 3557 , 'to show')
( 3557 , 'to point out')
( 3557 , 'to indicate')
( 3558 , 'to shop')
( 3558 , 'to buy')
( 3559 , 'to sew')
( 3559 , 'to stitch')
( 3560 , 'to seriously')
( 3560 , 'to significantly')
( 3560 , 'to noticeably')
( 3561 , 'to selected')
( 3561 , 'to chose')
( 3562 , 'to select')
( 3562 , 'to pick')
( 3562 , 'to pick out')
( 3563 , 'to seem')
( 3563 , 'to look')
( 3563 , 'to appear')
( 3564 , 'to seek')
( 3564 , 'to hunt')
( 3565 , 'to search')
( 3565 , 'to look')
( 3565 , 'to go looking')
( 3566 , 'to scrub')
( 3566 , 'to wash')
( 3566 , 'to clean')
( 3567 , 'to score')
( 3567 , 'to attain')
( 3568 , 'to schools')
( 3568 , 'to colleges')
( 3568 , 'to varsities')
( 3569 , 'to school')
( 3569 , 'to high school')
( 3569 , 'to highschool')
( 3570 , 'to save')
( 3570 , 'to save lots of')
( 3570 , 'to avoid wasting')
( 3571 , 'to safely')
( 3571 , 'to securely')
( 3571 , 'to soundly')
( 3572 , 'to rouse')
( 3572 , 'to awaken')
( 3572 , 'to evoke')
( 3573 , 'to ripping')
( 3573 , 'to tearing')
( 3574 , 'to rip')
( 3574 , 'to tear')
( 3575 , 'to rigorously')
( 3575 , 'to carefully')
( 3575 , 'to scrupulously')
( 3576 , 'to reworking')
( 3576 , 'to transforming')
( 3576 , 'to remodeling')
( 3577 , 'to rework')
( 3577 , 'to transform')
( 3577 , 'to remodel')
( 3578 , 'to restrict')
( 3578 , 'to limit')
( 3579 , 'to restore')
( 3579 , 'to revive')
( 3580 , 'to respond')
( 3580 , 'to reply')
( 3581 , 'to respire')
( 3581 , 'to breathe')
( 3582 , 'to reserve')
( 3582 , 'to order')
( 3583 , 'to reproduce')
( 3583 , 'to breed')
( 3584 , 'to replicate')
( 3584 , 'to duplicate')
( 3584 , 'to copy')
( 3585 , 'to replace')
( 3585 , 'to exchange')
( 3585 , 'to switch')
( 3585 , 'to interchange')
( 3586 , 'to remodeling')
( 3586 , 'to transforming')
( 3586 , 'to reworking')
( 3587 , 'to remodel')
( 3587 , 'to transform')
( 3587 , 'to rework')
( 3588 , 'to remember')
( 3588 , 'to recollect')
( 3589 , 'to remain')
( 3589 , 'to stay')
( 3590 , 'to religious')
( 3590 , 'to spiritual')
( 3590 , 'to non secular')
( 3591 , 'to relieve')
( 3591 , 'to alleviate')
( 3592 , 'to reinforce')
( 3592 , 'to strengthen')
( 3592 , 'to bolster')
( 3593 , 'to regulate')
( 3593 , 'to manage')
( 3593 , 'to control')
( 3594 , 'to regard')
( 3594 , 'to treat')
( 3595 , 'to refined')
( 3595 , 'to subtle')
( 3595 , 'to sophisticated')
( 3596 , 'to reduce')
( 3596 , 'to scale back')
( 3596 , 'to cut back')
( 3597 , 'to redesign')
( 3597 , 'to revamp')
( 3598 , 'to recollect')
( 3598 , 'to remember')
( 3599 , 'to recognize')
( 3599 , 'to acknowledge')
( 3600 , 'to really')
( 3600 , 'to actually')
( 3600 , 'to essentially')
( 3601 , 'to realize')
( 3601 , 'to understand')
( 3601 , 'to comprehend')
( 3601 , 'to appreciate')
( 3602 , 'to realise')
( 3602 , 'to understand')
( 3602 , 'to grasp')
( 3603 , 'to reach')
( 3603 , 'to succeed in')
( 3603 , 'to achieve')
( 3604 , 'to raise')
( 3604 , 'to boost')
( 3604 , 'to lift')
( 3605 , 'to query')
( 3605 , 'to question')
( 3605 , 'to question')
( 3606 , 'to purchasing')
( 3606 , 'to buying')
( 3607 , 'to pull')
( 3607 , 'to tug')
( 3607 , 'to drag')
( 3608 , 'to provoke')
( 3608 , 'to impress')
( 3609 , 'to provide')
( 3609 , 'to supply')
( 3609 , 'to produce')
( 3610 , 'to protect')
( 3610 , 'to guard')
( 3611 , 'to promote')
( 3611 , 'to advertise ')
( 3612 , 'to promise')
( 3612 , 'to vow')
( 3613 , 'to prohibit')
( 3613 , 'to ban')
( 3614 , 'to produce')
( 3614 , 'to supply')
( 3614 , 'to provide')
( 3615 , 'to procure')
( 3615 , 'to acquire')
( 3615 , 'to obtain')
( 3616 , 'to private')
( 3616 , 'to non-public')
( 3616 , 'to personal')
( 3617 , 'to price')
( 3617 , 'to cost')
( 3618 , 'to prevent')
( 3618 , 'to stop')
( 3618 , 'to forestall')
( 3619 , 'to prepare')
( 3619 , 'to organize')
( 3619 , 'to arrange')
( 3620 , 'to precisely')
( 3620 , 'to exactly')
( 3621 , 'to precise')
( 3621 , 'to express')
( 3621 , 'to specific')
( 3622 , 'to preach')
( 3622 , 'to evangelise')
( 3623 , 'to pray')
( 3623 , 'to wish')
( 3623 , 'to hope')
( 3624 , 'to polish')
( 3624 , 'to shine')
( 3625 , 'to place')
( 3625 , 'to put')
( 3625 , 'to position')
( 3626 , 'to pill')
( 3626 , 'to tablet')
( 3627 , 'to pick')
( 3627 , 'to select')
( 3627 , 'to choose')
( 3628 , 'to persuade')
( 3628 , 'to influence')
( 3628 , 'to steer')
( 3629 , 'to personal')
( 3629 , 'to non-public')
( 3629 , 'to private')
( 3630 , 'to permit')
( 3630 , 'to allow')
( 3631 , 'to peer')
( 3631 , 'to see')
( 3631 , 'to look')
( 3632 , 'to paste')
( 3632 , 'to stick')
( 3633 , 'to partly')
( 3633 , 'to partially')
( 3634 , 'to parents')
( 3634 , 'to oldsters')
( 3634 , 'to folks')
( 3635 , 'to paint')
( 3635 , 'to color')
( 3636 , 'to overcome')
( 3636 , 'to beat')
( 3637 , 'to outline')
( 3637 , 'to stipulate')
( 3638 , 'to organize')
( 3638 , 'to arrange')
( 3638 , 'to prepare')
( 3639 , 'to one')
( 3639 , 'to at least one')
( 3639 , 'to 1')
( 3640 , 'to oldsters')
( 3640 , 'to folks')
( 3640 , 'to parents')
( 3641 , 'to oil')
( 3641 , 'to grease')
( 3642 , 'to offload')
( 3642 , 'to dump')
( 3643 , 'to offer')
( 3643 , 'to supply')
( 3644 , 'to occasionally')
( 3644 , 'to sometimes')
( 3644 , 'to often')
( 3645 , 'to observe')
( 3645 , 'to watch')
( 3645 , 'to look at')
( 3646 , 'to objects')
( 3646 , 'to things')
( 3647 , 'to notice')
( 3647 , 'to note')
( 3648 , 'to note')
( 3648 , 'to notice')
( 3649 , 'to night')
( 3649 , 'to nighttime')
( 3650 , 'to negotiate')
( 3650 , 'to barter')
( 3651 , 'to need')
( 3651 , 'to wish')
( 3651 , 'to want')
( 3652 , 'to nearly')
( 3652 , 'to just about')
( 3652 , 'to almost')
( 3653 , 'to near')
( 3653 , 'to close')
( 3654 , 'to name')
( 3654 , 'to call')
( 3655 , 'to move')
( 3655 , 'to maneuver')
( 3656 , 'to monitor')
( 3656 , 'to watch')
( 3656 , 'to observe')
( 3657 , 'to modify')
( 3657 , 'to switch')
( 3657 , 'to change')
( 3658 , 'to mix''n''match')
( 3658 , 'to mix ''n match')
( 3658 , 'to mix and match')
( 3659 , 'to mix')
( 3659 , 'to combine')
( 3660 , 'to minimize')
( 3660 , 'to attenuate')
( 3660 , 'to reduce')
( 3661 , 'to milk')
( 3661 , 'to exploit')
( 3661 , 'to take advantage of')
( 3662 , 'to mention')
( 3662 , 'to say')
( 3663 , 'to mend')
( 3663 , 'to fix')
( 3664 , 'to meet')
( 3664 , 'to satisfy')
( 3664 , 'to fulfill')
( 3665 , 'to maximize')
( 3665 , 'to maximise')
( 3666 , 'to manipulate')
( 3666 , 'to control')
( 3666 , 'to govern')
( 3667 , 'to making')
( 3667 , 'to creating')
( 3668 , 'to maintain')
( 3668 , 'to take care of')
( 3668 , 'to keep up')
( 3669 , 'to try to made')
( 3669 , 'to try and made')
( 3670 , 'to love')
( 3670 , 'to like')
( 3671 , 'to lots')
( 3671 , 'to a lot')
( 3671 , 'to plenty')
( 3672 , 'to seem')
( 3672 , 'to appear')
( 3673 , 'to concentrate')
( 3673 , 'to pay attention')
( 3674 , 'to lingerie')
